'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387636841414656','At the Trump rally Brian Clothier 61 is wearing an adult diaper over his pants that reads Scientists say farts spre','San Francisco, CA','','Positive'
'1274387636858355713','Pres Trump defended his rally in Tulsa OK by claiming the local COVID 19 numbers are low while the Health Dept direct','Georgia','','Positive'
'1274387636908670977','This is our delivery man we see him 1 or 2 times a week start of lockdown Tallulah drew him a thankyou','London UK','','Neutral'
'1274387636938039298','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','North Idaho','','Negative'
'1274387637055270912','sahab need help again','Bangalore | Madhubani ','','Neutral'
'1274387637063696385','At the Trump rally Brian Clothier 61 is wearing an adult diaper over his pants that reads Scientists say farts spre','','','Positive'
'1274387638762569733','And just in his state About 40 are reported to be counted as having died this way','United States','','Neutral'
'1274387638972108800','INDIAN Company GLENMARK gets the nod for Manufacturing amp Marketing of FAVIPIRAVIR under the brand name FABIFLU to','','','Neutral'
'1274387639215386624','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','Great Space Coaster','','Negative'
'1274387639206961154','punch Hi im hoping to get some help I need help with our bills for th','United States','','Neutral'
'1274387639228141569','privacy concerns connected with tracktrace can be overcome If G20 countries can mobil','Germany','','Neutral'
'1274387639496511491','I miss this phase of lockdown','UK','','Neutral'
'1274387639588859908','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','','','Positive'
'1274387639664283648','Covid 19 missed a few','Bishops Stortford','','Negative'
'1274387639643201537','singaporeans singaporeans queueing about for TOTO Covid','','','Neutral'
'1274387639706292227','Now because of the prevalence of Covid 19 Tihar Jail went into lockdown with the rest of India and prison authorities h','','','Negative'
'1274387639718690816','Kamara Me tip toeing to get food at 3am cus lockdown made me nocturnal The stairs','','','Neutral'
'1274387639748014080','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','she/her ','','Negative'
'1274387639899230212','The UK coronavirus death toll increases by 128 in last 24 hours Sent via upday','South-East UK ','','Neutral'
'1274387640029114369','people really miss the increased spending to 500 a month during a pandemic part of this story','Where the red fern grows','','Positive'
'1274387639970476034','Jesus these people are stupid','','','Negative'
'1274387640201220097','Seems like it should be bigger news that the president of the United States has long since given up trying to prevent a pandemi','Pittsburgh, PA','','Negative'
'1274387640171839494','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Leicester, England','','Positive'
'1274387640234762244','This COVID patients need proper care and attention Isolation doesn t mean you can t go near them with protection','Pakistan','','Negative'
'1274387640377323520','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','New York','','Neutral'
'1274387640444469253','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','','','Positive'
'1274387639953698816','southcarolina still popping new records 1107 new cases reported on 6 19 20 COVID 19 coronavirususa','Charleston, SC','','Positive'
'1274387640469598210','Welcome clarification from re face masks those who cannot put on wear or remove a face covering because of','scotland ','','Positive'
'1274387640566112256','Listen to my speech from the DomesticAbuseBill Committee I spoke on how domesticabuse impacts people across Pont','London, England','','Neutral'
'1274387640616284166','Ent The cause of the coronavirus You won t You ll sure keep censoring on their behalf though Still kee','','','Positive'
'1274387640738025474','are you wearing the C the CDC recommended face covering because we re still in the middle of the global COVID 19 pand','Perú | she/ella','','Neutral'
'1274387640968716290','Raymond will b like Elizabeth I have case for you The coronavirus is a billion dollar investment the people that created i','','','Neutral'
'1274387641031708676','Oh you have to be fucking kidding me','','','Negative'
'1274387640943546374','4 000 new Covid 19 cases in one day in Florida Nigel Farage is there Do your thing Coronavirus','Putney, London','','Positive'
'1274387641140641792','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Ur mom','','Positive'
'1274387641140604928','At least two Buccaneers players now have tested positive for COVID 19 per sources Earlier this week one Buccaneers co','Los Angeles, CA','','Negative'
'1274387641342078977','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','Jacksonville Beach, FL','','Positive'
'1274387641463640070','bUt ThEn At ThE sAmE TiMe','Philadelphia, PA','','Neutral'
'1274387641602117633','Breaking The coronavirus death toll in Ireland has risen to 1 715 after a further two fatalities were announced by the National Pu','Alphen aan den Rijn. Netherlands','','Neutral'
'1274387641694216192','NEW India reports 546 new coronavirus cases in Telangana state total at 7 072 Telangana s largest daily increase so','Hyderabad, India','','Positive'
'1274387642747097089','TULSA OKLAHOMA THE SITE OF THE NEXT SUPER SPREADER EVENT WATCH HOW COVID 1','','','Positive'
'1274387642881314817','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387642843611136','Pipe down big man Arsenal are as shite as pre Covid Official',' South Wales','','Negative'
'1274387642956877824','ie With Covid 19 having put paid to the wedding dream jewellery designer Jane Asple and her fianc are now working on a P','Israel','','Neutral'
'1274387643003002880','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387643011223552','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Washington State','','Neutral'
'1274387642654822400','Before lockdown massively destructive to freedom amp our economy 1 Did take rigorous measures to ensure that pr','','','Negative'
'1274387643313393666','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','','','Positive'
'1274387643325911041','Covidgate','','','Neutral'
'1274387643313381377','Just remember if you loot riot and pull down statues you can t catch COVID but if you go to the Trump rally tomo','Austin, TX','','Negative'
'1274387643439120389','His family have expressed concerns about their family history of respiratory conditions which puts Jaggi at a higher ris','','','Positive'
'1274387643510468615','Trump s rally in Tulsa is indoors with no social distancing and no mask requirements all in violation of CDC guidelines','','','Negative'
'1274387643447431169','IfCovidNeverHappened I would still be washing my hands regularly have hand sanitizer and be cleaning my house wi','','','Neutral'
'1274387643657261058','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','','','Positive'
'1274387643682287616','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','Gwalior, India','','Neutral'
'1274387643695013890','Crack','santiago','','Neutral'
'1274387644064161792','In the face of the COVID 19 pandemic we have truly mobilized as a nation to combat the virus both at home and abroad','Dallas, TX, U.S.A','','Neutral'
'1274387643518857216','Episode 6 is out It s the part 2 of the first episode of At The Bus Stop On this episode I talk to Ayo','Lagos, Nigeria','','Positive'
'1274387644361965571','if you ask me many of Americans have been wearing the mask even before from covid 19 the mask i refer to is of course the clown','just a giant fuckin petri dish','','Positive'
'1274387644311453697','Covid catcher party In a show of brilliance several hundred teens decided to party unmasked','','','Neutral'
'1274387644496195584','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','New Orleans, LA','','Negative'
'1274387644471021574','Pres Trump defended his rally in Tulsa OK by claiming the local COVID 19 numbers are low while the Health Dept direct','','','Positive'
'1274387644605018113','is season 3 going to get delayed due to the pandemic Eagerly awaiting season 3','Mumbai','','Negative'
'1274387644395302912','Having COVID 19 antibodies aka having COVID 19 in the past doesn t make make you permanently immune to it Ppl have ca','','','Negative'
'1274387644936597506','So the ban was a joke then Does this now explain that COVID 19 was the same a sick joke to control and d','','','Negative'
'1274387644995244033','They should be counted as a Covid patient and be under speci','','','Neutral'
'1274387644940791808','Oh you have to be fucking kidding me','Spanakopita!','','Negative'
'1274387645095907331','did teachers amp nurses get a bonus as thanks to their hard work during COVID','Fort Worth, TX','','Negative'
'1274387645129535491','In the spirit of foodsecurity during this COVID19 pandemic we play our role in setting up climatesmart drip irrigation kit','Tanzania','','Neutral'
'1274387645075009537','It s because covid is so gangster that if you had the flu covid would invade and take','Auburn, NY','','Neutral'
'1274387645477588993','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Bryan, TX','','Neutral'
'1274387645318287360','I haven t seen in months but can we start a go fundme acct to help him get back on his feet and out o','','','Neutral'
'1274387645603274752','NEW India reports 2 396 new coronavirus cases in Tamil Nadu state total at 56 845 Tamil Nadu s largest daily increas','Tamil Nadu, India','','Positive'
'1274387645569929217','How to Help Your Autistic Child Cope with Lockdown lockdown ASD stayhome autism stayathome socialdistancing sel','','','Negative'
'1274387645678923777','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','','','Neutral'
'1274387645704085506','Former Governor of California Arnold Schwarzenegger The science is unanimous if we all wear mas','','','Neutral'
'1274387647306379265','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Maryland','','Neutral'
'1274387647356526592','If a friend of yours literally dying from the virus isn t enough to convince you it s a thing I m not sure there s anything t','','','Negative'
'1274387647415250944','But joe rogan said wearing masks is for bitches so who are you going to believe Scientists or whatever the fuck that','','','Negative'
'1274387647511707650','Getting closer Maybe next week Clearing Airports for takeoff XpresCheck covid covidtesting','Unknown','','Neutral'
'1274387647553835010','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Dongguan China','','Neutral'
'1274387647776141312','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387647830556673','My caffeine kicked in and I wanna do any and everything but ain t no one to do shit with cause COVID Blah Back to Epic Seven','New York, NY','','Negative'
'1274387647889211392','IfCovidNeverHappened I don t know what would be happening A world without Covid isn t the world we live in It sucks but','any pronouns | pan/ace | INFP','','Negative'
'1274387647625072641','Is it a good idea to have 19k unhealthy maskless maga chuds in an indoo','Canada/USA','','Positive'
'1274387647830474753','Desantis is winning Florida records over 4 000 new cases of COVID 19 in one day','Bay Area, CA','','Positive'
'1274387648153563137','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Toronto, Ontario','','Neutral'
'1274387648258269185','ANOTHER RECORD COVID19 update from this morning reports 4 049 new positive cases of coronavirus in Florid','Houston, TX','','Positive'
'1274387648585424897','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Iran','','Negative'
'1274387648723943426','Producer Judy Craymer reveals to a third MammaMia movie is being planned I was meant to have been getting on w','','','Neutral'
'1274387648652574720','THREAD A few months ago I called a scientist in Toronto for a COVID interview but when he noticed I was calling from a 7','','','Negative'
'1274387648803676162','Stunning More than 20 of Arizona s COVID tests reported today came back positive New York is down to around 1','','','Positive'
'1274387648476577793','No Recourse to Public Funds legislation means that still there are kids who aren t being supported by the food voucher sch','Silchester','','Neutral'
'1274387648900186114','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','Raleigh, NC','','Negative'
'1274387648824504320','GoI Most illogical and irrational What does domestic flights have to do with opening internati','','','Positive'
'1274387648874835969','Life as an Arsenal fan prepared me for this pandemic the frustration of watching Arsenal lose in the 90th minut','San Francisco, CA','','Neutral'
'1274387649059598337','It s like we have two parallel federal governments Each one just pretends the other doesn t exist','','','Negative'
'1274387649206329346','cbd It will be more global than COVID 19','Westbromwich','{''id'': ''6bc1630ac15fbcaa'', ''url'': ''https://api.twitter.com/1.1/geo/id/6bc1630ac15fbcaa.json'', ''place_type'': ''city'', ''name'': ''West Bromwich'', ''full_name'': ''West Bromwich, England'', ''country_code'': ''GB'', ''country'': ''United Kingdom'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-2.0971, 52.460709], [-2.0971, 52.569037], [-1.921566, 52.569037], [-1.921566, 52.460709]]]}, ''attributes'': {}}','Positive'
'1274387649294487552','So umm there s a COVID 19 exposure log trying to sync with my Bluetooth and Health app and I definitely did not download o','','','Neutral'
'1274387649365569537','Governments both provincial and federal have used the pandemic as a pretext to attack our freedoms spend like drunken s','Nanaimo, British Columbia','','Neutral'
'1274387648996655105','Also currently doing lunges up the stairs drinking a cocktail to try to stretch my jeans as that lockdown weight ha','Manchester','','Neutral'
'1274387649533337608','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Wyoming, USA','','Positive'
'1274387649508323330','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387649634205698','As number of people tested passes 30 000 mark another person has died from COVID 19 The death comes as 109 other resid','McTown, TX','','Negative'
'1274387649751547904','Farage Given the US President specifically banned travel from the UK would you describe your visit as an invasion','','','Neutral'
'1274387649902632960','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','East Lansing, MI','','Positive'
'1274387650959429637','Wow so many healthy looking people Canada Shut down your border again while you ca','gypsy','','Positive'
'1274387651160756224','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Fresno California','','Negative'
'1274387651152490499','This is devastating Our analysis shows that with the same actions actually taken by other nations large and small from East','Brooklyn, NY','','Negative'
'1274387651311865857','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Hammerfest, Norge','','Neutral'
'1274387651336921088','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','','','Positive'
'1274387651659890690','You have to really hate America to be throwing a coronavirus rally in the middle of a pandemic Raise your hand if you agree','','','Negative'
'1274387651689435136','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','San Antonio, TX','','Negative'
'1274387651790020608','TRAITOR Happy Covid festival btw','','','Positive'
'1274387651634872321','POLL Yesterday a said 80 of Americans support WearAMask 89 D and 68 R Let s test','Central Texas','','Neutral'
'1274387651886329856','Due to COVID19 aka Coronavirus Ill be sending the first 900 people to like amp retweet this 300 1500 through CashApp','','','Negative'
'1274387651899031559','if u say blm but u are partying ignoring COVID bc it s more convenient for u id like to remind you that COVID will dispro','','','Positive'
'1274387651756523520','For those that need the context this how Pakistans handling of the Covid 19 crisis compares to the countries at th','','','Neutral'
'1274387652314308609','jtaylor In the course of bracing yourself for tonight s rally in Tulsa read this brilliant essay by s','New York, NY','','Positive'
'1274387652389867527','Florida reports a record shattering 4 049 new coronavirus cases Saturday Statewide infections approach 94 000 and DeSa','United States','','Positive'
'1274387652226289664','These people are going to cause a hospital ICU bed crisis and will be responsible for the death of healthcare worke','','','Positive'
'1274387652352057352','I suspect at this point resisting arrest She ll be booked then released charges dropped','','','Negative'
'1274387652427431936','TRACKING COVID 19 Nevada reported its largest single day increase in COVID 19 cases with 445 The state conducted over 10 00','mobile','','Negative'
'1274387652431708164','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','','','Neutral'
'1274387652578430976','News Glenmark Pharmaceuticals launches drug for treatment of COVID 19 Company statement','Bengaluru, India','','Neutral'
'1274387652561842176','Awesome can t wait to Celebrate Trump hosting 2nd Salute to America on July 4 amid coronavirus','','','Positive'
'1274387652926754816','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Texas','','Neutral'
'1274387653044166656','briggs WHY was no one in the comedy club full of black people in Nashville where DL Hughley passed out NOT wearing a mask WHA','Washington, DC','','Positive'
'1274387653102759941','MV COVID 19 Case Updates As of 06 00 PM Confirmed an additional 37 cases of COVID 19 infections in Maldives 19 Maldivians','Maldives','','Positive'
'1274387653203460097','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','Belfast, Northern Ireland','','Positive'
'1274387653346177025','Automation has been slower than many expected but with the pandemic forcing companies to innovate and borrowing che','Myrtle Beach, SC','','Positive'
'1274387653459185664','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387653421674496','Trump s rally in Tulsa is indoors with no social distancing and no mask requirements all in violation of CDC guidelines','DCB Residence','','Negative'
'1274387653392322562','Smith19 The cheap shot at Desantis is unhelpful and displays a blatant eagerness to make coronavirus political Fwiw FL s ri','Brooklyn, NY','','Negative'
'1274387653560020993','Premature baby born at just 23 weeks in lockdown is smaller than a TV remote','Worldwide','','Negative'
'1274387653622988803','I pick curtain 2','Virginia, USA','','Neutral'
'1274387653899677697','8 more found COVID 19 positive out of 1 3 7 5 samples tested in our state With proper care all these and','','','Positive'
'1274387653832605696','For the just the flu lunatics','Glace Bay, Nova Scotia','','Neutral'
'1274387653966921728','Abaho Arsenal is a pandemic','Kampala, Uganda','','Neutral'
'1274387654075875328','Follow them You don t want to miss these videos','','','Neutral'
'1274387653979508736','O Dear Florida records over 4 000 new cases of COVID 19 in one day','Manchester, England','','Positive'
'1274387654348435456','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Eugene, OR','','Negative'
'1274387655376150534','Jollett This rally takes place at a time when Oklahoma faces the highest rates of COVID 19 infection since','Indiana','','Neutral'
'1274387655430717440','working in retail during a nationwide pandemic is a special kind of hell because I see at least one example of all of th','SpACE','','Positive'
'1274387655426551809','Premature baby born at just 23 weeks in lockdown is smaller than a TV remote','Worldwide','','Negative'
'1274387655644647426','Wow s production value for the first night of Bingo Tour is top notch Tour quality lights Multi cam fades f','iPhone: 40.751663,-73.989670','','Positive'
'1274387655640395777','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Upstate New York','','Positive'
'1274387655644442624','The virus that has killed more than 460 000 people worldwide is still malignant','Arizona U.S.','','Positive'
'1274387655741116416','News3 COVID OUTBREAK Individuals who visited the Cruisin Chubby s establishment on June 10 through 14 may have been exposed t','Madison, WI ','','Neutral'
'1274387656248635399','UK Covid stats this week New Cases Deaths Jun 15 968 38 Jun 16 1279 233 Jun 17 1115 184 Jun 18','Bretagne, France','','Positive'
'1274387656311357442','Zhang Hai whose father died from the CCPvirus filed a lawsuit against the Wuhan local gov t The CCP has been kn','','','Neutral'
'1274387656227643392','Not looking forward to the answer to shingles is to chicken pox as is to covid but I ve got a bad feeling ab','Newfoundland','','Negative'
'1274387656416415749','Being busy is important be it the MIND or the BODY My new home gym setup is my happy place during the lockdown','','','Positive'
'1274387656433156096','Coronavirus can survive for 20 years in temperatures of minus 20 degrees Celsius','New York, NY','','Negative'
'1274387656437358592','The facts are your friend died from Covid and his son almost died There are no both sides in science How real and personal do','Oklahoma City, Ok','','Positive'
'1274387656714174466','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Michigan, USA','','Negative'
'1274387656693161985','Again the pandemic is NOT OVER people I don t care how nice it is outside','Here, There, Errywhere ','','Positive'
'1274387656936263680','It s not a campaign rally It s a rally supporting the spread of coronavirus TrumpsCoronavirusRally','United State','','Positive'
'1274387657087467520','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','Pennsylvania, USA','','Positive'
'1274387657158778882','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','','','Neutral'
'1274387657246871552','tallblaqboi Nigerian Arsenal fans have got to be the strongest set of people I know I mean how can you be dealing with this pand','Africa','','Negative'
'1274387657292906496','20JYoVoy a contagiarme covid 19','En tu cama, LP Argentina','','Neutral'
'1274387657339142145','Then the mom tells me okay I guess Covid is fake anyways','Texas, USA','','Neutral'
'1274387657699680256','And I absolutely hate the fact that I m in the very high risk group for Covid or I d be there too Hell my 91','Port Orchard, WA','','Negative'
'1274387657573965830','Boy will those dumb liberals feel stupid if I wear a diaper','United States','','Negative'
'1274387657829896192','COVID 19 looks like something that has come to stay like malaria flu and likes','Nigeria','','Neutral'
'1274387658031202307','A whole Covid 19 but a certain dictator still roams the streets','South Africa, Zimbabwe','','Positive'
'1274387658098135041','China desile price in China is 50rs litr in India 75rs litr where is trade friendly competitive Not to','Hubli','','Positive'
'1274387658064699393','Fucking idiots replying to this with no understanding how disaster planning works Same about unused beds in private ho','Dublin City, Ireland','','Negative'
'1274387658320592896','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Abuja/ Ph/ Lagos','','Negative'
'1274387658433867778','Zimbabwe health minister arrested over 60 million COVID 19 equipment contract','South Africa','','Neutral'
'1274387658454818816','These people are hopeless','Baltimore, MD - USA','','Neutral'
'1274387658626785280','See this tweet thread for why I am not ready to go back to normal','Tampa Bay','','Positive'
'1274387658785959936','It s amazing what the human mind is capable of','this page is mostly shitposts ','','Positive'
'1274387658848993282','Wow A nursing home in Baltimore oldest African American one did not lose a single person to COVID because as soon as they','','','Positive'
'1274387659696324611','I though summer was going to be epic this year thx COVID 19','','','Positive'
'1274387659637444609','Here s your chance to fight against this','','','Neutral'
'1274387659880882177','ANOTHER RECORD COVID19 update from this morning reports 4 049 new positive cases of coronavirus in Florid','','','Positive'
'1274387659805224960','Maybe that s the master plan after all sacrifice a few 100k people with poor health widen ou','','','Negative'
'1274387659968806912','Tritten What d you do during the Great Pandemic of 2020 grandpa The most patriotic thing Billy I fought for people s ri','','','Positive'
'1274387659796832256','If trees could bleed Parramatta would be facing a river of blood for a toy train set that nobody loves','','','Neutral'
'1274387659977363456','Breaking Two further deaths from Covid 19 and 22 additional cases','Alphen aan den Rijn. Netherlands','','Neutral'
'1274387660182827015','Infinite Make no mistake the media isn t upset about the Trump Rally because of Coronavirus fears they re upset because they ha','USA','','Neutral'
'1274387660375822336','Vote against the racists','','','Neutral'
'1274387660459704322','BREAKING Dr Fauci and Dr Birx both advised Trump against holding his coronavirus rally tomorrow His own advisors What a tr','Among resisters','','Positive'
'1274387660375818240','Suspected covid cases in schools have rocketed now schools are open to more pupils even with fewer than 10 attending It wou','','','Positive'
'1274387660447064068','BREAKING Another Florida record day Added 4049 new COVID 19 cases overnight 12 36 positivity rate','Washington, IL','','Positive'
'1274387660572954624','since a lot of people seem to forget we re under a pandemic and aren t wearing masks','he/him','','Neutral'
'1274387660644073473','Looks like all whites','California, USA','','Neutral'
'1274387660707180544','Gov DeSantis senators Scott and Rubio must not get a second term','','','Neutral'
'1274387660941987840','If RRB gets canceled next month cause covid I ll be sad my mom was already going with me to texas to babysit at the hotel','','','Negative'
'1274387660979580930','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','Seattle, WA','','Neutral'
'1274387661009162241','How many times will CNN say tonight s Rally will become a Coronavirus Super Spreader Event','','','Positive'
'1274387661046808577','WHO boss says world is entering new and dangerous phase of coronavirus pandemic and warned the number of Covid 19 infections','midlands','','Negative'
'1274387661097062401','For isolation beds Between Rs 8 000 10 000 a day For a bed at an ICU Between Rs 13 000 15 000 a day For ICUs with','','','Neutral'
'1274387661164249092','Important Thread','Michigan','','Positive'
'1274387661269209093','It s no good this ToryDictatorship trying to keep pace with other countries who are easing their lockdowns amp reducing Socia','','','Negative'
'1274387661382451203','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','New Jersey, USA','','Positive'
'1274387661424386048','Florida reports a record shattering 4 049 new coronavirus cases Saturday Statewide infections approach 94 000 and DeSa','Texas, USA','','Positive'
'1274387661642436609','In Iran the youth are suppressed and arrested This regime exploits even the novel coronavirus to kill political prison','','','Neutral'
'1274387661575254018','That s cool Everything I saw online and in the news I didn t see a single one hence why everyone s','','','Positive'
'1274387661806080003','COVID beating our asses','Chicago, IL','','Neutral'
'1274387661789319169','puru In a market pull back with covid 19 spikes what would be your top 3 buys Includes all sectors and countries','','','Positive'
'1274387661801820161','I ve given Twitter a reprieve but have muted words like Donald Trump Coronavirus Covid Brexit and about 10 other','Comber, Northern Ireland','','Negative'
'1274387661944434694','hundreds lined up for the covid rally willing to risk death to see jim jones trump cult45','Maine, USA','','Positive'
'1274387661998997504','The horse is already out of the barn Spanky Bolton s book points out your criminality your stupidity a','Alabama, USA','','Negative'
'1274387661885759488','Which social distance Europe s The WHO or Simons Irish Examiner Simon Harris Public still need to observe s','Dublin City, Ireland','','Positive'
'1274387662141612034','If you want us to drop a devastating video against Trump while he s infecting his supporters with coronavirus in Tulsa OK','Dallas,TX by way of Houma, LA','','Negative'
'1274387662221258753','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','nyc','','Neutral'
'1274387662296829954','P9 Teachers trainers have had to adjust rapidly from face to face to distance teaching Since not all teachers trainer','Norway','','Neutral'
'1274387663777411078','ppl are gonna try and blame juneteenth for this next covid spike like fathers day isnt tmr','','','Neutral'
'1274387663743672320','Rather than emphasizing that outdoor activity was basically safe so long as you kept your distance from one another w','','','Positive'
'1274387663798165505','did teachers amp nurses get a bonus as thanks to their hard work during COVID','','','Negative'
'1274387663919947777','am4tunate Florida broke another record today for coronavirus cases with 4 049 new cases amp Desantis blaming Hispanic workers for th','','','Positive'
'1274387663961772039','Oh you have to be fucking kidding me','Sacramento, CA','','Negative'
'1274387663920025604','It bears repeating 28 of Florida s cases have come in the past 10 days','','','Negative'
'1274387663987015680','So then how much do you hate America having coronavirusprotests in the middle of a pandemic that results i','Cleveland, OH','','Negative'
'1274387664020660224','Georgia s COVID 19 cases spike after it misrepresented its numbers to indicate a decline','','','Neutral'
'1274387664142131200','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387664284811264','Fed The evidence is in No surges in the cities with massive demonstrations such as Minneapolis and Philadelphia The surges in','','','Neutral'
'1274387664482045952','Dengue fever on the rise in Southeast Asia amid coronavirus lockdown','London, United Kingdom','','Neutral'
'1274387664482041856','Stroo But you have to do certain things to activate it','London','','Positive'
'1274387664607703045','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','Monmouth, OR','','Neutral'
'1274387664729452546','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know',' Birmingham, AL','','Neutral'
'1274387664695934976','On the plus side he s in the USA whose covid infections are still peaking and will presumably attend','','','Neutral'
'1274387665010425856','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387665018707968','Canada We gotta stand up for each other at home and people around the world Join me and to help ask','Dhaka, Bangladesh','','Negative'
'1274387665090080768','ok but what if covid and protest make us take back our public spaces so that socializing isn t a part of consumption i','MNL ','','Positive'
'1274387665299795968','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','','','Positive'
'1274387665350246400','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','','','Neutral'
'1274387665241149440','incredible failure of leadership by costs Florida small business owners millions','angry Floridian','','Positive'
'1274387665358553091','I feel for Arsenal and Arteta tbh everybody wants him to just step in and perform magic knowing fully well he s no','Federal Capital Territory, Nig','','Positive'
'1274387665534754819','the party is cancelled it s pandemic season social distancing but you can delivery your gifts tho','eng/ind | descriptive ','','Positive'
'1274387665085853698','Stop Hammock Time QuarantineLife QuarantineAndChill stillathome StayAtHome coronavirus','','','Neutral'
'1274387665786474497','First AAU event since COVID Looks like too many kids spent the break working on euro steps step backs and jelly finishe','Gadsden, AL','','Positive'
'1274387666071584768','Despite COVID I think this summer is going to be legendary','','','Positive'
'1274387666168098816','Delighted to see our Editorial published in BJA on the need for Trials of Awake Prone Positioning FOR COVID 19 seve','NUI Galway, Ireland','','Positive'
'1274387666444759046','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Hemet, CA','','Neutral'
'1274387666541240320','Sharing Bc my parents have COVID 19 and this tea really helps them feel better for a few hours 1 Boil a cup of water 2','Sweden','','Positive'
'1274387666558164993','Oklahoma Supreme Court denies a request for an order directing a Tulsa arena to enforce CDC coronavirus recommendations at Presi','United States','','Neutral'
'1274387666713423872','FREE COVID 19 TESTING IN SAN ANTONIO you don t need to have symptoms to get tested ESD 12 Station 136 11800 Hwy 87 E Adk','','','Positive'
'1274387666595971073','Maglera On Top','Klerksdorp, South Africa','','Positive'
'1274387666763542528','PrOteSteRs aRe cAUsiNg CoViD OUtBreaKS nah bitch blatant racism and police brutality are stfu','Seattle, WA','','Negative'
'1274387666725978112','It s a key question And the answer is the govt has not fallen because the U K is not a democracy Ministers cannot be','','','Neutral'
'1274387667959066624','During the board meeting this week top of mind for us was the pandemic that our nation and the world conti','','','Positive'
